<00> | P01 state: new/ready      | P02 state: --             | P03 state: --             | P04 state: --             | P05 state: --             |
<67> | P01 state: bloqued queue  | P02 state: bloqued queue  | P03 state: bloqued queue  | P04 state: terminated     | P05 state: terminated     |
<68> | P01 state: bloqued queue  | P02 state: bloqued queue  | P03 state: bloqued queue  | P04 state: terminated     | P05 state: terminated     |
<69> | P01 state: bloqued queue  | P02 state: bloqued queue  | P03 state: bloqued queue  | P04 state: terminated     | P05 state: terminated     |
<70> | P01 state: bloqued queue  | P02 state: bloqued queue  | P03 state: bloqued queue  | P04 state: terminated     | P05 state: terminated     |
<71> | P01 state: bloqued queue  | P02 state: bloqued queue  | P03 state: bloqued queue  | P04 state: terminated     | P05 state: terminated     |
<72> | P01 state: bloqued queue  | P02 state: bloqued queue  | P03 state: bloqued queue  | P04 state: terminated     | P05 state: terminated     |
<73> | P01 state: bloqued queue  | P02 state: bloqued queue  | P03 state: bloqued queue  | P04 state: terminated     | P05 state: terminated     |
<74> | P01 state: bloqued queue  | P02 state: bloqued queue  | P03 state: bloqued queue  | P04 state: terminated     | P05 state: terminated     |
<75> | P01 state: bloqued queue  | P02 state: bloqued queue  | P03 state: bloqued queue  | P04 state: terminated     | P05 state: terminated     |
<76> | P01 state: bloqued queue  | P02 state: bloqued queue  | P03 state: bloqued queue  | P04 state: terminated     | P05 state: terminated     |
<77> | P01 state: bloqued queue  | P02 state: bloqued queue  | P03 state: bloqued queue  | P04 state: terminated     | P05 state: terminated     |
<78> | P01 state: bloqued queue  | P02 state: bloqued queue  | P03 state: bloqued queue  | P04 state: terminated     | P05 state: terminated     |
<79> | P01 state: bloqued queue  | P02 state: bloqued queue  | P03 state: bloqued queue  | P04 state: terminated     | P05 state: terminated     |
<80> | P01 state: bloqued queue  | P02 state: bloqued queue  | P03 state: bloqued queue  | P04 state: terminated     | P05 state: terminated     |
